Index LeftOp RightOp TensorIndex CosineSimilarity MaxAbsoluteError AccumulatedRelativeError RelativeEuclideanDistance KullbackLeiblerDivergence StandardDeviation
44 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:output:0 NaN NaN NaN NaN NaN NaN
44 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:output:1 0.386871 0.000128 52.882493 0.961214 inf (0.000;0.000),(0.000;0.000)
44 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:output:2 1.000000 0.001041 0.032140 0.001004 inf (0.999;0.000),(0.998;0.000)
44 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:output:3 NaN NaN NaN NaN NaN NaN
44 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:output:4 NaN NaN NaN NaN NaN NaN
45 KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:input:0 NaN NaN NaN NaN NaN NaN
45 KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:input:1 NaN NaN NaN NaN NaN NaN
45 KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:input:2 NaN NaN NaN NaN NaN NaN
45 KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:input:3 NaN NaN NaN NaN NaN NaN
45 KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Reduce,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/mul,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/mul,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg/sub_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/AssignMovingAvg_1/sub_1,KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3 KeypointNetwork_1/OrientationNetwork/dconv0/BatchNorm/FusedBatchNormV3_Update:input:4 1.0 0.000000 0.000000 0.0 NaN (0.000;0.000),(0.000;0.000)
